transaction_id,agency,amount,created_at
TXN000001,KS_DMV,293.15,2026-08-13 12:24:00
TXN000002,KS_PARKS,121.53,2026-08-05 15:57:00
TXN000003,PROPERTY_TAX,309.36,2026-08-04 22:57:00
TXN000004,KS_DMV,271.86,2026-08-02 08:32:00
TXN000005,KS_PARKS,55.76,2026-08-23 23:58:00
TXN000006,PROPERTY_TAX,276.88,2026-08-10 01:11:00
TXN000007,PROPERTY_TAX,326.47,2026-08-20 02:13:00
TXN000008,PROPERTY_TAX,110.89,2026-08-13 15:51:00
TXN000009,KS_DMV,367.1,2026-08-08 06:23:00
TXN000010,NC_DMV,318.69,2026-08-13 15:30:00
TXN000011,NC_DMV,82.63,2026-08-05 15:38:00
TXN000012,KS_DMV,55.34,2026-08-17 08:06:00
TXN000013,PROPERTY_TAX,383.66,2026-08-13 00:55:00
TXN000014,COURT_FINES,366.1,2026-08-25 09:42:00
TXN000015,COURT_FINES,69.3,2026-08-04 14:04:00
TXN000016,PROPERTY_TAX,255.14,2026-08-17 11:00:00
TXN000017,KS_DMV,266.15,2026-08-03 02:03:00
TXN000018,NC_DMV,302.65,2026-08-04 15:09:00
TXN000019,KS_DMV,387.06,2026-08-18 07:11:00
TXN000020,NC_DMV,135.92,2026-08-08 09:39:00
TXN000021,KS_PARKS,176.03,2026-08-13 03:36:00
TXN000022,KS_DMV,320.29,2026-08-28 17:20:00
TXN000023,PROPERTY_TAX,291.22,2026-08-12 03:23:00
TXN000024,COURT_FINES,86.08,2026-08-13 06:51:00
TXN000025,PROPERTY_TAX,445.44,2026-08-10 23:52:00
TXN000026,KS_DMV,312.81,2026-08-11 10:10:00
TXN000027,NC_DMV,372.48,2026-08-19 06:10:00
TXN000028,KS_PARKS,131.47,2026-08-26 19:30:00
TXN000029,NC_DMV,396.22,2026-08-10 16:14:00
TXN000030,COURT_FINES,300.12,2026-08-30 06:09:00
TXN000031,NC_DMV,214.6,2026-08-07 08:30:00
TXN000032,PROPERTY_TAX,122.28,2026-08-25 12:42:00
TXN000033,PROPERTY_TAX,129.29,2026-08-20 11:57:00
TXN000034,COURT_FINES,405.55,2026-08-17 11:23:00
TXN000035,KS_PARKS,110.4,2026-08-24 04:32:00
TXN000036,KS_DMV,229.68,2026-08-05 23:45:00
TXN000037,KS_PARKS,81.49,2026-08-20 05:06:00
TXN000038,COURT_FINES,274.44,2026-08-18 08:49:00
