settlement_id,transaction_id,settled_amount,settled_at
SET000001,TXN000001,293.15,2026-08-13 12:24:00
SET000003,TXN000003,309.36,2026-08-04 22:57:00
SET000004,TXN000004,271.86,2026-08-02 08:32:00
SET000005,TXN000005,55.76,2026-08-23 23:58:00
SET000006,TXN000006,276.88,2026-08-10 01:11:00
SET000007,TXN000007,326.47,2026-08-20 02:13:00
SET000008,TXN000008,110.89,2026-08-13 15:51:00
SET000009,TXN000009,367.1,2026-08-08 06:23:00
SET000010,TXN000010,318.69,2026-08-13 15:30:00
SET000011,TXN000011,82.63,2026-08-05 15:38:00
SET000012,TXN000012,55.34,2026-08-17 08:06:00
SET000014,TXN000014,353.65,2026-08-25 09:42:00
SET000015,TXN000015,69.3,2026-08-04 14:04:00
SET000016,TXN000016,255.14,2026-08-17 11:00:00
SET000017,TXN000017,266.15,2026-08-03 02:03:00
SET000019,TXN000019,387.06,2026-08-18 07:11:00
SET000020,TXN000020,135.92,2026-08-08 09:39:00
SET000021,TXN000021,176.03,2026-08-13 03:36:00
SET000022,TXN000022,320.29,2026-08-28 17:20:00
SET000023,TXN000023,291.22,2026-08-12 03:23:00
SET000024,TXN000024,86.08,2026-08-13 06:51:00
SET000025,TXN000025,445.44,2026-08-10 23:52:00
SET000026,TXN000026,312.81,2026-08-11 10:10:00
SET000027,TXN000027,372.48,2026-08-19 06:10:00
SET000028,TXN000028,131.47,2026-08-26 19:30:00
SET000029,TXN000029,396.22,2026-08-10 16:14:00
SET000030,TXN000030,280.17,2026-08-30 06:09:00
SET000032,TXN000032,122.28,2026-08-25 12:42:00
SET000033,TXN000033,129.29,2026-08-20 11:57:00
SET000034,TXN000034,405.55,2026-08-17 11:23:00
SET000035,TXN000035,110.4,2026-08-24 04:32:00
SET000036,TXN000036,229.68,2026-08-05 23:45:00
SET000037,TXN000037,74.0,2026-08-20 05:06:00
SET000038,TXN000038,274.44,2026-08-18 08:49:00
SET000039,TXN000039,274.21,2026-08-25 01:56:00
SET000040,TXN000040,124.37,2026-08-01 12:32:00
SET000041,TXN000041,310.92,2026-08-25 10:30:00
SET000042,TXN000042,341.63,2026-08-06 01:50:00
SET000043,TXN000043,142.67,2026-08-21 15:35:00
SET000044,TXN000044,16.41,2026-08-23 18:46:00
SET000045,TXN000045,346.45,2026-08-05 20:13:00
SET000046,TXN000046,393.68,2026-08-30 01:54:00
SET000047,TXN000047,235.83,2026-08-07 22:56:00
SET000048,TXN000048,177.65,2026-08-25 13:08:00
SET000050,TXN000050,275.54,2026-08-01 21:16:00
SET000051,TXN000051,63.66,2026-08-14 23:53:00
SET000052,TXN000052,119.16,2026-08-26 19:42:00
SET000053,TXN000053,426.92,2026-08-23 02:49:00
SET000054,TXN000054,369.97,2026-08-06 17:21:00
SET000055,TXN000055,70.85,2026-08-26 00:31:00
SET000057,TXN000057,199.07,2026-08-25 13:03:00
SET000058,TXN000058,343.54,2026-08-15 04:28:00
SET000059,TXN000059,188.56,2026-08-20 22:31:00
SET000060,TXN000060,406.33,2026-08-06 12:10:00
SET000061,TXN000061,110.24,2026-08-16 09:16:00
SET000062,TXN000062,24.15,2026-08-11 11:20:00
SET000063,TXN000063,270.97,2026-08-04 05:32:00
SET000064,TXN000064,322.91,2026-08-11 10:03:00
SET000065,TXN000065,44.32,2026-08-16 00:54:00
SET000066,TXN000066,29.92,2026-08-13 16:10:00
SET000068,TXN000068,72.56,2026-08-27 05:22:00
SET000069,TXN000069,220.61,2026-08-19 12:37:00
SET000070,TXN000070,97.83,2026-08-30 23:47:00
SET000071,TXN000071,202.51,2026-08-19 17:01:00
SET000072,TXN000072,218.16,2026-08-30 17:44:00
SET000073,TXN000073,443.11,2026-08-03 18:12:00
SET000074,TXN000074,190.14,2026-08-05 23:21:00
SET000075,TXN000075,123.17,2026-08-25 09:46:00
SET000076,TXN000076,210.15,2026-08-09 08:25:00
SET000077,TXN000077,136.17,2026-08-04 10:20:00
SET000078,TXN000078,207.76,2026-08-05 10:56:00
SET000080,TXN000080,436.51,2026-08-08 13:39:00
SET000081,TXN000081,191.79,2026-08-10 17:28:00
SET000082,TXN000082,391.12,2026-08-08 11:49:00
SET000083,TXN000083,165.33,2026-08-13 01:40:00
SET000084,TXN000084,418.04,2026-08-13 23:34:00
SET000085,TXN000085,199.01,2026-08-23 03:34:00
SET000086,TXN000086,82.34,2026-08-10 21:47:00
SET000087,TXN000087,436.39,2026-08-25 16:13:00
SET000088,TXN000088,41.52,2026-08-03 14:26:00
SET000089,TXN000089,36.81,2026-08-23 21:14:00
SET000090,TXN000090,414.93,2026-08-08 03:57:00
SET000091,TXN000091,39.74,2026-08-04 15:30:00
SET000093,TXN000093,44.56,2026-08-19 09:01:00
SET000095,TXN000095,257.95,2026-08-29 04:31:00
SET000096,TXN000096,50.66,2026-08-26 17:22:00
SET000097,TXN000097,242.41,2026-08-10 07:06:00
SET000098,TXN000098,306.33,2026-08-11 20:42:00
SET000099,TXN000099,130.54,2026-08-30 09:03:00
SET000100,TXN000100,145.5,2026-08-04 07:14:00
SET000101,TXN000101,19.05,2026-08-26 14:56:00
SET000102,TXN000102,448.3,2026-08-25 11:14:00
SET000103,TXN000103,107.72,2026-08-07 00:40:00
SET000104,TXN000104,420.97,2026-08-12 02:49:00
SET000105,TXN000105,175.74,2026-08-20 22:36:00
